,date,state,cases,deaths
22373,2020-03-31,Indiana,5,0
22374,2020-03-31,Indiana,2,0
22375,2020-03-31,Indiana,8,0
22376,2020-03-31,Indiana,146,5
22377,2020-03-31,Indiana,9,0
22378,2020-03-31,Indiana,38,1
22379,2020-03-31,Indiana,964,17
22380,2020-03-31,Indiana,3,0
22381,2020-03-31,Indiana,3,0
22382,2020-03-31,Indiana,30,0
22383,2020-03-31,Indiana,6,0
22384,2020-03-31,Indiana,32,1
22385,2020-03-31,Indiana,1,0
22386,2020-03-31,Indiana,2,0
22387,2020-03-31,Indiana,1,0
22388,2020-03-31,Indiana,3,0
22389,2020-03-31,Indiana,11,0
22390,2020-03-31,Indiana,21,0
22391,2020-03-31,Indiana,4,0
22392,2020-03-31,Indiana,7,1
22393,2020-03-31,Indiana,3,0
22394,2020-03-31,Indiana,31,1
22395,2020-03-31,Indiana,4,0
22396,2020-03-31,Indiana,1,1
22397,2020-03-31,Indiana,15,0
22398,2020-03-31,Indiana,49,1
22399,2020-03-31,Indiana,1,0
22400,2020-03-31,Indiana,1,0
22401,2020-03-31,Indiana,2,0
22402,2020-03-31,Indiana,3,0
22403,2020-03-31,Indiana,14,1
22404,2020-03-31,Indiana,4,0
22405,2020-03-31,Indiana,2,0
22406,2020-03-31,Indiana,18,0
22407,2020-03-31,Indiana,1,0
22408,2020-03-31,Indiana,9,1
22409,2020-03-31,Indiana,1,0
22410,2020-03-31,Indiana,2,1
22411,2020-03-31,Indiana,8,0
22412,2020-03-31,Indiana,6,0
22413,2020-03-31,Indiana,2,0
22414,2020-03-31,Indiana,2,0
22415,2020-03-31,Indiana,2,0
22416,2020-03-31,Indiana,2,0
22417,2020-03-31,Iowa,1,0
22418,2020-03-31,Iowa,7,1
22419,2020-03-31,Iowa,1,0
22420,2020-03-31,Iowa,1,0
22421,2020-03-31,Iowa,7,0
22422,2020-03-31,Iowa,7,0
22423,2020-03-31,Iowa,1,0
22424,2020-03-31,Iowa,2,0
22425,2020-03-31,Iowa,1,0
22426,2020-03-31,Iowa,1,0
22427,2020-03-31,Iowa,9,0
22428,2020-03-31,Iowa,7,0
22429,2020-03-31,Iowa,1,0
22430,2020-03-31,Iowa,1,0
22431,2020-03-31,Iowa,5,0
22432,2020-03-31,Iowa,1,0
22433,2020-03-31,Iowa,25,0
22434,2020-03-31,Iowa,1,0
22435,2020-03-31,Iowa,1,0
22436,2020-03-31,Iowa,21,1
22437,2020-03-31,Iowa,2,0
22438,2020-03-31,Iowa,1,0
22439,2020-03-31,Iowa,3,0
22440,2020-03-31,Iowa,1,0
22441,2020-03-31,Iowa,9,0
22442,2020-03-31,Iowa,3,0
22443,2020-03-31,Iowa,4,0
22444,2020-03-31,Iowa,1,0
